Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
CCJ,Cameco Corporation,NYSE,Canada,Canada; USA; Kazakhstan,Saskatchewan; Wyoming; Nebraska,Producer,"Cigar Lake (50%, Saskatchewan); McArthur River/Key Lake (70%, Saskatchewan); Inkai JV (40%, Kazakhstan); Smith Ranch-Highland ISR (Wyoming); Crow Butte ISR (Nebraska)",Primary,Largest Western-controlled uranium producer; FY2025 production ~21 Mlbs; 49% owner of Westinghouse (acquired 2023 with Brookfield); most liquid uranium equity for US investors; integrated fuel services (conversion at Port Hope ON); dual-listed TSX:CCO; mkt cap ~US$30B
CCO.TO,Cameco Corporation,TSX,Canada,Canada; USA; Kazakhstan,Saskatchewan; Wyoming; Nebraska,Producer,Same as NYSE:CCJ — dual-listed,Primary,Canadian listing of Cameco; same company as NYSE:CCJ; TSX trading often slightly tighter spreads for Canadian investors
KAP.L,Kazatomprom (NAC Kazatomprom JSC),LSE,Kazakhstan,Kazakhstan,Multiple regions,Producer,Inkai (60% JV with Cameco); Budenovskoye 6&7; Karatau; South Inkai; Kharasan; Akdala; Tortkuduk; Moinkum and 14 other ISR mines,Primary,World's largest uranium producer (~43% of global mine production); state-owned (75%+); ISR-only operations; lowest AISC globally ~US$15-25/lb; LSE GDR (KAP) and Astana (KZAP); RKAB-style production guidance announcements market-moving; mkt cap ~US$10B
KZAP,Kazatomprom,AIX (Astana),Kazakhstan,Kazakhstan,Multiple regions,Producer,Same as LSE:KAP,Primary,Primary domestic listing of Kazatomprom on Astana International Exchange (Kazakhstan); same operating company as LSE:KAP and OTC:NATKY
PDN.AX,Paladin Energy,ASX,Australia,Namibia; Canada,Erongo Region; Saskatchewan,Producer,"Langer Heinrich (75%, Namibia, restarted 2024); Patterson Lake South / Triple R (Saskatchewan, post-Fission acquisition 2024); Michelin (Labrador)",Primary,Australian-listed major; Langer Heinrich Namibia restart at full ramp 2025-2026 (~6 Mlbs/yr nameplate); acquired Fission Uranium Dec 2024 adding Triple R one of world's highest-grade undeveloped deposits; mkt cap ~A$3B; TSX:PDN secondary listing
PALAF,Paladin Energy,OTC,Australia,Namibia; Canada,Erongo Region; Saskatchewan,Producer,Same as ASX:PDN,Primary,"US OTC pink-sheet dual listing of Paladin Energy (ASX:PDN); thin liquidity vs ASX primary; same company, same assets (Langer Heinrich + Patterson Lake South)"
UEC,Uranium Energy Corp,NYSE American,USA,USA; Canada; Paraguay,Texas; Wyoming; Saskatchewan; Paraguay,Producer,Hobson processing plant + Palangana ISR Texas; Christensen Ranch ISR Wyoming; Burke Hollow + several Texas projects; Roughrider acquired from Rio Tinto 2024 (Athabasca Basin); Yuty + Oviedo Paraguay,Primary,Largest pure-play US uranium producer; hub-and-spoke ISR model; Texas + Wyoming production restarts 2024-2025; Roughrider acquisition Dec 2024 transformative — high-grade Athabasca asset; physical uranium holdings ~1.4 Mlbs; mkt cap ~US$3.5B
URG,Ur-Energy,NYSE American,USA,USA,Wyoming,Producer,Lost Creek ISR Wyoming (operating); Shirley Basin ISR Wyoming (development restart),Primary,Wyoming-focused US ISR producer; Lost Creek expansion + Shirley Basin construction 2025; targeting ~2 Mlbs/yr combined output by 2027; long-term contracts with US utilities; mkt cap ~US$400M
URE.TO,Ur-Energy,TSX,Canada,USA,Wyoming,Producer,Same as URG NYSE,Primary,"Canadian dual listing of Ur-Energy on TSX; primary listing remains NYSE American:URG; same company, same assets (Lost Creek + Shirley Basin Wyoming ISR)"
EU,enCore Energy,NASDAQ,USA,USA,Texas; New Mexico; South Dakota; Wyoming,Producer,Rosita CPP + Alta Mesa ISR Texas (operating); Dewey-Burdock SD; Marquez-Juan Tafoya NM; Crownpoint NM; Gas Hills WY,Primary,Texas ISR producer; restarted Rosita Nov 2023 + Alta Mesa Apr 2024; largest US uranium resource pipeline; uplisted from NYSE American to NASDAQ Jan 2024; mkt cap ~US$500M
EU.V,enCore Energy,TSX.V,USA,USA,Texas; New Mexico; SD; WY,Producer,Same as NASDAQ:EU,Primary,"Canadian TSXV dual listing of enCore Energy; primary listing is NASDAQ:EU; same company, same assets (Rosita + Alta Mesa Texas ISR; Dewey-Burdock South Dakota; Gas Hills Wyoming)"
UUUU,Energy Fuels,NYSE American,USA,USA,Utah; Wyoming; Arizona,Producer,"White Mesa Mill (only conventional U mill in US, Utah); Pinyon Plain (AZ, restarted 2024); La Sal Complex; Nichols Ranch ISR (WY); multiple Sandstone Belt assets",Primary,Only operating conventional uranium mill in US (White Mesa UT); also major REE producer (monazite processing) + V producer; Pinyon Plain AZ began production 2024; targeting 1.0-1.4 Mlbs U3O8 in 2025; integrated US fuel cycle play; mkt cap ~US$1B
EFR.TO,Energy Fuels,TSX,USA,USA,Utah; Wyoming; Arizona,Producer,Same as UUUU,Primary,"Canadian dual listing of Energy Fuels on TSX; primary listing is NYSE American:UUUU; same company, same assets (White Mesa Mill + Pinyon Plain + Nichols Ranch + La Sal + Daneros + Toroweap)"
PEN.AX,Peninsula Energy,ASX,Australia,USA,Wyoming,Producer,Lance ISR Wyoming (Ross + Kendrick + Barber satellites); restart underway 2024-2025,Primary,Wyoming ISR producer ramping; restart underway H2 2024 to early 2025; nameplate ~1.8 Mlbs/yr; long-term contract book with US utilities; mkt cap ~A$300M
BOE.AX,Boss Energy,ASX,Australia,Australia; USA,South Australia; Texas,Producer,"Honeymoon ISR South Australia (100%, restarted Apr 2024); Alta Mesa JV (30% with enCore EU, Texas)",Primary,Honeymoon SA restarted Apr 2024 after 11-year hiatus; ramping to 2.45 Mlbs/yr nameplate; 30% Alta Mesa JV cash flowing; physical uranium holdings ~1.25 Mlbs; mkt cap ~A$1.5B
DML.TO,Denison Mines,TSX,Canada,Canada,Saskatchewan,Developer,"Wheeler River (95%, includes Phoenix ISR + Gryphon conventional, Athabasca Basin); Midwest JV (25.17%); McClean Lake JV (22.5%, includes mill); Waterbury Lake (66.9%)",Primary,Phoenix to be first ISR uranium mine in Canada; FEED complete; FID expected 2025; targeting 9 Mlbs/yr from Phoenix + 7 Mlbs/yr from Gryphon; physical uranium holdings (~2.5 Mlbs); 22.5% McClean Lake mill toll capacity; mkt cap ~C$3B
DNN,Denison Mines,NYSE American,Canada,Canada,Saskatchewan,Developer,Same as TSX:DML,Primary,US-listed equivalent of Denison; NYSE American gives US retail direct access without Canadian brokerage
NXE,NexGen Energy,NYSE,Canada,Canada,Saskatchewan,Developer,"Rook I project / Arrow deposit (100%, Athabasca Basin); SW2 + other Athabasca claims",Primary,Arrow deposit one of world's largest undeveloped high-grade uranium deposits (~257 Mlbs P&P); FEED 2025; FID pending federal license; targeting first production 2028+ at ~30 Mlbs/yr; triple-listed NYSE/TSX/ASX; physical uranium holdings 2.7 Mlbs; mkt cap ~C$5B
NXE.TO,NexGen Energy,TSX,Canada,Canada,Saskatchewan,Developer,Same as NYSE:NXE,Primary,Canadian primary listing of NexGen Energy (TSX:NXE); cross-listed on NYSE:NXE; CDI on ASX:NXG; flagship Rook I / Arrow deposit Saskatchewan (~3.75 Mt @ 3.10% U3O8 indicated)
NXG.AX,NexGen Energy,ASX,Canada,Canada,Saskatchewan,Developer,Same as NYSE:NXE,Primary,"Australian CDI (CHESS Depositary Interest) listing of NexGen Energy; underlying shares trade on TSX:NXE and NYSE:NXE; same company, same Rook I project"
LOT.AX,Lotus Resources,ASX,Australia,Malawi,Karonga District,Developer,"Kayelekera (85%, restart-ready, fully permitted); Letlhakane (Botswana, JV with A-Cap Energy)",Primary,Kayelekera Malawi restart-ready (past producer 2009-2014); FID late 2025; targeting first production H2 2026 at ~2.4 Mlbs/yr Phase 1; Letlhakane Botswana large undeveloped resource; mkt cap ~A$300M
DYL.AX,Deep Yellow,ASX,Australia,Namibia; Australia,Erongo; SA + WA,Developer,"Tumas Project Namibia (PFS complete, FID 2025); Mulga Rock SA (PFS); Alligator River project NT; Reptile project Namibia",Primary,John Borshoff (founder of Paladin) led; Tumas Namibia FID pending H2 2025; targeting 3.6 Mlbs/yr from Tumas Stage 1; Mulga Rock SA 2nd development asset; merged with Vimy Resources 2022; mkt cap ~A$1B
BMN.AX,Bannerman Energy,ASX,Australia,Namibia,Erongo,Developer,Etango-8 Namibia (95%; DFS 2022; construction 2024-2025),Primary,Etango-8 Namibia in construction (FID Aug 2024); first U3O8 production targeted 2027; targeting 3.5 Mlbs/yr LOM; near Husab + Rössing in Erongo's uranium province; CGN cornerstone investor; mkt cap ~A$700M
FSY.TO,Forsys Metals,TSX,Canada,Namibia,Erongo,Developer,Norasa Project Namibia (Valencia + Namibplaas deposits; DFS),Primary,Norasa Namibia DFS complete; long-permitted; financing pathway in process; ~5 Mlbs/yr potential output; near Erongo uranium hub; mkt cap ~C$200M
GLO.TO,Global Atomic,TSX,Canada,Niger; Turkey,Agadez Region,Developer,"Dasa Project Niger (PFS 2021, construction underway pre-coup; political risk active 2023-2025)",Primary,"Dasa Niger one of highest-grade African uranium deposits; construction paused after 2023 Niger coup, status under review 2024-2025; secondary asset: 49% Befesa Silvermet Turkey zinc recycling JV provides cash flow; mkt cap ~C$300M"
LAM.TO,Laramide Resources,TSX,Canada,USA; Australia,Utah; New Mexico; Queensland,Developer,Churchrock NM (ISR; PEA 2018); Crownpoint NM; Westmoreland QLD Australia; La Sal District Utah,Primary,Churchrock NM ISR project advanced; multiple US Sandstone Belt assets; Australian Westmoreland legacy asset; mkt cap ~C$150M
ISO.TO,IsoEnergy,TSX,Canada,Canada; USA; Argentina,Saskatchewan; Utah; Argentina,Developer,"Tony M (UT, restart-ready conventional underground); Hurricane (high-grade discovery, Athabasca Basin); Larocque East; Geiger; Laguna Salada Argentina",Primary,Hurricane Athabasca world's highest-grade indicated U deposit (34.5% U3O8); Tony M UT past producer being restarted (~700kt/yr); merged with Consolidated Uranium Sept 2023; multiple development paths; mkt cap ~C$700M
ISOU,IsoEnergy,NYSE American,Canada,Canada; USA; Argentina,Saskatchewan; Utah; Argentina,Developer,Same as TSX:ISO,Primary,US listing of IsoEnergy uplisted to NYSE American 2024; same company as TSX.V:ISO; flagship Hurricane Zone Saskatchewan (highest-grade indicated uranium resource globally)
GXU.V,GoviEx Uranium,TSX.V,Canada,Niger; Mali; Zambia,Niger; Mali; Zambia,Developer,Madaouela Niger (DFS-stage; mining permit revoked 2024 — political risk); Falea Mali; Mutanga Zambia,Primary,"Africa-focused uranium developer; Muntanga Project Zambia (1,136 km²); Madaouela Niger; Falea Mali; ESIA filed Sept 2025 for Muntanga; reverse takeover with Tombador Iron completed Nov 2025; OTCQB: GVXXF"
EL8.AX,Elevate Uranium,ASX,Australia,Namibia; Australia,Namibia; NT,Developer,Koppies (Namibia); Marenica Namibia; Angela NT (advanced); multiple,Primary,Namibia + NT uranium portfolio; Koppies Namibia advanced exploration with strong drill results 2024; Marenica unique U-Sea separation tech; mkt cap ~A$200M
TOE.AX,Toro Energy,ASX,Australia,Australia,Western Australia,Developer,Wiluna Project (Lake Way + Centipede + Millipede + Lake Maitland); Theseus,Primary,Wiluna WA permitted (federal + state) but on hold pending price/financing; combined ~71 Mlbs U3O8 measured + indicated; SA Theseus exploration; mkt cap ~A$80M
AEE.AX,Aura Energy,ASX,Australia,Sweden; Mauritania,Västerbotten; Mauritania,Developer,Häggån Sweden (large polymetallic U-V-Ni-Mo-Zn-PGM); Tiris Mauritania (DFS 2023),Primary,Tiris Mauritania DFS-stage uranium project; ~3 Mlbs/yr potential; Häggån Sweden one of world's largest U deposits but politically frozen (Sweden U mining moratorium under review); mkt cap ~A$200M
UEX.TO,UEX Corporation,TSX,Canada,Canada,Saskatchewan,Developer,"Christie Lake (Athabasca); Hidden Bay (Athabasca); Shea Creek (Athabasca, JV with Orano); West Bear Co-U deposit",Primary,Long-tenured Athabasca Basin developer (multiple deposits 100% owned + JV with Orano); West Bear cobalt-uranium deposit unique; mkt cap ~C$100M
WUC.CN,Western Uranium & Vanadium,CSE,Canada,USA,Utah; Colorado,Developer,Sunday Mine Complex CO; Sage Plain UT; Maverick Minerals UT — multiple Sandstone Belt assets,Primary,Utah-Colorado Sandstone Belt U-V developer; Sunday Mine Complex restart-ready; toll-milling pathway with Energy Fuels White Mesa; mkt cap ~C$60M
PTU.V,Purepoint Uranium Group,TSX.V,Canada,Canada,Saskatchewan,Explorer,Hook Lake JV with Cameco (39.5%) + Orano; Smart Lake JV; Red Willow; Carter Lake; Henday Lake — multiple Athabasca Basin claims,Primary,Pure-play Athabasca Basin explorer; partnered with majors (Cameco/Orano on Hook Lake JV); high-grade discovery upside leverage; mkt cap ~C$50M
FUU.V,F3 Uranium Corp,TSX.V,Canada,Canada,Saskatchewan,Explorer,PLN (Patterson Lake North); Beaver River; Karpinka Lake — Athabasca Basin grassroots claims,Primary,Athabasca Basin discovery-stage explorer; flagship Patterson Lake North (PLN) Project hosting JR Zone discovery (Initial Indicated Mineral Resource Dec 2025: 11.8 Mlb @ 4.39% U3O8 with 10.8 Mlb high-grade core @ 12.23% U3O8); renamed from Fission 3.0 Corp January 2023; spun out of original Fission Uranium (which was acquired by Paladin Dec 2024); CEO Dev Randhawa led 2012 PLS discovery; Denison Mines financing partnership; mkt cap ~C$123M as of Mar 2026; OTCQB: FUUFF
SYH.V,Skyharbour Resources,TSX.V,Canada,Canada,Saskatchewan,Explorer,"Moore Project (100%, Athabasca Basin); Russell Lake JV (51%); Falcon Point; multiple option/JV agreements (project generator model)",Primary,Project generator model — operates Moore + Russell Lake while optioning out other claims to partners (Orano CFR Azincourt others); ~30 Athabasca Basin properties under management; mkt cap ~C$80M
SYHBF,Skyharbour Resources,OTCQX,Canada,Canada,Saskatchewan,Explorer,Same as TSX.V:SYH,Primary,US OTCQX dual listing of Skyharbour Resources (TSX.V:SYH); same company; flagship Moore Project Athabasca + Russell Lake JV with Denison
SASK.V,Atha Energy,TSX.V,Canada,Canada,Saskatchewan; Nunavut,Explorer,Angilak Project Nunavut (Lac 50 deposit); Athabasca Basin claims; Gemini (Athabasca); 92E Project — multiple claims,Primary,"Largest uranium exploration land package in Canada — >7 million acres across Athabasca Basin (3.8M acres), Nunavut Angikuni + Thelon Basins (3.1M acres), Newfoundland Central Mineral Belt (~268k acres); 10% carried interest in NexGen + IsoEnergy projects; absorbed 92 Energy in 2024 acquisition; raised C$63M in Feb 2026; mkt cap ~C$340M"
SASKF,Atha Energy,OTCQB,Canada,Canada,Saskatchewan; Nunavut,Explorer,Same as TSX.V:ATU,Primary,"US OTCQB dual listing of Atha Energy (TSX.V:SASK) for US retail investors; same company, same assets"
BSK.V,Blue Sky Uranium,TSX.V,Canada,Argentina,Río Negro Province,Explorer,Amarillo Grande Project Argentina (sandstone uranium-vanadium; PEA 2019),Primary,Amarillo Grande Argentina sandstone-hosted U-V; 600km belt of identified targets; 23.0 Mlbs U3O8 inferred; new Argentina mining-friendly Milei government policy uplift; mkt cap ~C$30M
CVV.V,CanAlaska Uranium,TSX.V,Canada,Canada,Saskatchewan,Explorer,West McArthur (JV with Cameco 17.5%); Cree East; Frontier; multiple Athabasca Basin claims,Primary,Long-tenured Athabasca Basin explorer; West McArthur JV with Cameco — high-grade unconformity targets; project generator model; mkt cap ~C$80M
AGE.AX,Alligator Energy,ASX,Australia,Australia; Italy,Northern Territory; SA,Explorer,Samphire SA (PFS); Big Lake SA; Alligator Rivers NT (close to Ranger); Italy Co-Ni,Primary,Samphire SA PFS-stage ISR uranium; SA pro-mining recently; multiple early-stage NT and SA assets; mkt cap ~A$100M
EME.AX,Energy Metals,ASX,Australia,Australia,Western Australia; NT,Explorer,Bigrlyi NT (large historical resource); multiple Western Australia + NT claims,Primary,Bigrlyi NT one of larger pre-development Australian U resources; CGN-China cornerstone shareholder; mkt cap ~A$70M
API.CN,Appia Rare Earths & Uranium,CSE,Canada,Canada; Brazil,Saskatchewan; Brazil,Explorer,PCH Project Brazil (REE primary); Alces Lake REE SK; Loranger U Athabasca Basin; multiple SK U-REE claims,Secondary,"Dual-focus REE + uranium explorer; Alces Lake REE flagship Saskatchewan; Otherside + Loranger + North Wollaston + Eastside Athabasca uranium claims (~75,314 ha total); PCH Project Brazil REEs; OTCQB: APAAF; mkt cap ~C$30M"
SLX.AX,Silex Systems,ASX,Australia,USA,Kentucky,Enrichment Tech,SILEX laser enrichment technology (51% with Cameco 49% in Global Laser Enrichment JV at Paducah KY),Primary,Australian-listed laser enrichment technology developer; JV with Cameco at Global Laser Enrichment (GLE); HALEU production target ~2027; uranium enrichment + Zr-Si production; unique pure-play enrichment technology stock; mkt cap ~A$1.2B
LEU,Centrus Energy,NYSE American,USA,USA,Ohio,Enrichment Tech,American Centrifuge Plant Piketon OH (HALEU production for DOE 2023+),Primary,Only US enricher with active centrifuge tech; DOE HALEU contracts (commercial-scale 2024 onwards); legacy LEU supply contracts with utilities; tariff and policy beneficiary from Russian enrichment ban; mkt cap ~US$2.5B
ASPI,ASP Isotopes,NASDAQ,USA,USA; South Africa,N/A,Enrichment Tech,Quantum Leap Energy subsidiary (HALEU plans); Aerodynamic Separation Process (ASP) for isotope enrichment,Primary,US-listed isotope enrichment technology; Quantum Leap Energy subsidiary plans HALEU production; smaller scale than LEU but innovative ASP tech; mkt cap ~US$700M
SMR,NuScale Power,NYSE,USA,USA,Oregon (HQ),SMR Reactor Tech,NuScale SMR design (NRC certified 2023),Primary,Pure-play small modular reactor company; NRC SMR design certification 2023; UAMPS CFPP Idaho cancelled 2023; pivoting to other projects; reactor/utility-side play (not uranium miner); mkt cap ~US$2B
OKLO,Oklo Inc,NYSE,USA,USA,Idaho (HQ),Advanced Reactor Tech,Aurora microreactor (sodium-cooled fast reactor; NRC application 2024),Primary,Sam Altman-backed advanced fission company; SPAC IPO May 2024; Aurora powerhouse design pursuing data center / military / commercial deployments; uses HALEU fuel; uranium-demand-side bull thesis; mkt cap ~US$8B
NNE,Nano Nuclear Energy,NASDAQ,USA,USA,New York (HQ),Microreactor Tech,ZEUS + ODIN microreactor designs; HALEU fuel processing target,Primary,US-listed advanced microreactor developer (transportable designs); IPO May 2024; HALEU fuel fabrication + microreactor commercialization plans; speculative; mkt cap ~US$1.2B
BWXT,BWX Technologies,NYSE,USA,USA,Virginia (HQ),Nuclear Fuel & Components,Naval reactor cores (US Navy primary customer); commercial nuclear components; HALEU TRISO fuel for DOE,Primary,US Navy nuclear reactor manufacturer (subs + carriers); commercial nuclear fuel + components; HALEU TRISO fuel for Advanced Reactor Demonstration Program (ARDP); mkt cap ~US$10B
LTBR,Lightbridge Corporation,NASDAQ,USA,USA,Virginia (HQ),Fuel Tech,Lightbridge Fuel (advanced metallic fuel design for LWR + SMR),Primary,Advanced uranium fuel design developer (metallic alloy fuel for higher burnup); R&D-stage; long timeline to commercialization; mkt cap ~US$200M
DUK,Duke Energy,NYSE,USA,USA,North Carolina; Florida · Multi-state,Utility — Nuclear Operator,11 nuclear reactors (~10.7 GW capacity) in NC SC FL,Secondary,Largest US nuclear utility by reactor count; uranium is fuel input; nuclear ~30% of generation mix; uranium price exposure is opex (not revenue); included in NLR ETF
CEG,Constellation Energy,NASDAQ,USA,USA,Illinois; New York; multiple · Multi-state,Utility — Nuclear Operator,21 nuclear reactors (~22 GW capacity) — largest US merchant nuclear fleet,Secondary,Largest US nuclear-generation utility post-2022 Exelon spin-off; signed landmark Microsoft data-center PPAs 2024; restarting Three Mile Island Unit 1 (Crane Clean Energy Center) 2028; primary US nuclear-renaissance equity beneficiary; mkt cap ~US$80B
VST,Vistra Corp,NYSE,USA,USA,Illinois; Texas; multiple · Multi-state,Utility — Nuclear Operator,Comanche Peak (TX) + Energy Harbor acquired 2024 (4 reactors OH PA); ~6.4 GW nuclear,Secondary,Texas-based merchant generator; acquired Energy Harbor March 2024 adding 4 reactors; data-center PPA strategy; nuclear renaissance beneficiary; mkt cap ~US$60B
PEG,Public Service Enterprise Group,NYSE,USA,USA,New Jersey,Utility — Nuclear Operator,Salem + Hope Creek nuclear plants (NJ),Secondary,New Jersey utility holding company; nuclear part of generation mix; ZEC subsidies; data center load growth thesis
SO,Southern Company,NYSE,USA,USA,Georgia; Alabama · Multi-state,Utility — Nuclear Operator,Vogtle (Units 1-4 GA — Units 3 & 4 newest US reactors completed 2023-2024); Hatch; Farley,Secondary,First newly-completed US reactors in 30+ years (Vogtle 3 2023 + Vogtle 4 2024); incremental ~2.2 GW nuclear added; major nuclear renaissance reference case
EXC,Exelon Corporation,NASDAQ,USA,USA,Illinois · Multi-state,Utility — Nuclear Operator,Transmission & distribution focus post-2022 Constellation spin-off,Secondary,Post-2022 Constellation spin-off Exelon retained T&D businesses; CEG holds the merchant nuclear fleet; less direct nuclear thesis than CEG
SN,Nuclearelectrica,BVB (Bucharest),Romania,Romania,Cernavoda,Utility — Nuclear Operator,Cernavoda Units 1 & 2 (CANDU) + Units 3 & 4 development,Secondary,Romanian state nuclear utility; Cernavoda CANDU operator; uranium fuel sourced domestically; BVB-listed; small but unique European pure-play utility
1414.HK,CGN Power,SEHK,China,China,Multi-province,Utility — Nuclear Operator,27 operating reactors + multiple under construction in China; flagship Chinese nuclear utility,Secondary,Largest Chinese nuclear utility by capacity; uranium fuel customer; controls CGN Mining (1164.HK); mkt cap ~HK$200B
BHP,BHP Group,NYSE,Australia,Australia,South Australia,Producer,Olympic Dam SA — copper-uranium-gold-silver (uranium is by-product),Secondary,World's largest uranium deposit by contained pounds (Olympic Dam); uranium produced as Cu byproduct (~3-4 Mlbs/yr); not investable as pure-play uranium but provides incidental exposure; mkt cap ~US$120B
RIO,Rio Tinto,NYSE,UK/Australia,Namibia; Australia,Erongo; NT,Producer,Residual minor uranium exposure post-divestments,Secondary,Historical uranium producer (Rössing Namibia + ERA Ranger Australia); divested most uranium 2018-2024; minor residual exposure via legacy Rio Algom; ERA delisted Oct 2024 after compulsory acquisition; mkt cap ~US$110B
URNM,Sprott Uranium Miners ETF,NYSE Arca,USA,USA — fund domicile,N/A,ETF,Tracks North Shore Global Uranium Mining Index (~50 holdings),Primary,Most comprehensive uranium miners ETF; 0.75% expense ratio; ~US$1.5B AUM; top holdings: Cameco KAP NexGen Paladin Denison UEC; includes ~17% allocation to physical uranium via SPUT; the default uranium ETF for US investors
URA,Global X Uranium ETF,NYSE Arca,USA,USA — fund domicile,N/A,ETF,Tracks Solactive Global Uranium & Nuclear Components Index (~50 holdings),Primary,Older and historically larger uranium ETF; 0.69% expense ratio; ~US$3B AUM; broader than URNM (includes nuclear components like BWXT and reactor manufacturers); top holdings include CCJ KAP NXE BWXT
NLR,VanEck Uranium and Nuclear ETF,NYSE Arca,USA,USA — fund domicile,N/A,ETF,Tracks MarketVector Uranium and Nuclear Energy Index (miners + utilities),Primary,Broader thesis ETF — combines uranium miners with nuclear utilities (Constellation Vistra Duke EDF); 0.61% expense ratio; ~US$700M AUM; lower beta to U price than URNM but higher dividend yield from utility component
URNJ,Sprott Junior Uranium Miners ETF,NYSE Arca,USA,USA — fund domicile,N/A,ETF,Tracks Nasdaq Sprott Junior Uranium Miners Index (~30 small-cap holdings),Primary,Junior-focused uranium ETF; 0.80% expense ratio; ~US$200M AUM; higher beta than URNM; weighted toward developers/explorers (NXE Denison Paladin UEC IsoEnergy enCore); higher volatility
U-UN.TO,Sprott Physical Uranium Trust (SPUT),TSX,Canada,Canada — fund domicile,N/A — physical uranium · Multiple licensed converter storage facilities,Physical Trust,Holds physical U3O8 (~66 Mlbs as of 2025) in licensed converter storage,Primary,Largest physical uranium investment vehicle; ~US$3.5B NAV; tracks UxC spot price closely (with NAV premium/discount); ATM (at-the-market) issuance can absorb spot supply when premium >1%; key spot-price driver in tight markets; CAD-listed (U.UN); requires Canadian brokerage access
